Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:32:29.236666,    5.609794,101082.984219,   24.635480,   50.712373,   18.499835,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.119393,   -0.266874,    0.036881,   -0.220080,    0.000000,    0.000000,   44.296875,   -0.567124,    0.249864,   -2.806444,   -0.804659,   -1.257537,   -0.022603,   -2.596854,   -1.156441,   -2.015346,    0.101507,   -0.556029,   -1.404660,   -0.565892,    1.119043,    0.355069,   -0.664111,    0.143836,   -1.080824,   -0.857262,   -0.261781,    0.023014,   -2.231100,   -0.460275,   -2.019456,    0.430686,   -0.054658,    1.338085,    1.210071,   -0.464384,   -1.075893,    0.841235,   -1.522195,    2.571478,    2.477650,   -0.229521,   -0.732741,   -0.391645,   -2.685211,   -1.411236,   -1.227948,   -4.130967,   -0.671919,   -3.265691,   -5.074120,   -6.134601,  -25.061338,   -6.332273,   -5.288435,   -5.285867,   -7.227343,   -7.544399,   -7.475691,   -7.297823,   -6.404499,   -6.759876,   -9.364539,   -6.715390,   -6.304122,   -4.784188,   -5.242202,   -6.066998,   -7.154809,   -7.584056,   -6.277821
Mult,SI,251114 12:32:29.246666,    5.609452,101082.984219,   24.599239,   50.825994,   18.499835,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,   -0.009433,   -0.195986,    0.013067,    0.035157,    0.000000,    0.000000,   44.296875,   -1.341373,   -0.852330,   -0.034521,   -0.883974,   -1.372605,   -0.964933,    0.129863,   -2.582471,   -2.376991,   -2.091785,   -1.801236,   -1.168769,   -1.968497,   -0.337398,   -1.501647,   -1.278907,   -0.533015,   -2.120963,    1.347537,   -3.852747,   -2.333429,   -1.855072,   -1.803702,    0.088356,   -0.898358,    1.032742,   -1.351236,   -3.372335,   -0.845755,   -1.449866,   -1.813565,   -0.436850,   -1.371784,   -0.593272,   -1.894319,   -1.449455,    0.589316,    0.015616,   -0.756166,   -0.313151,   -1.156852,    0.586440,   -1.708565,    2.344936,   -6.806931,  -24.770862,   -6.280081,   -6.272478,   -4.970712,   -6.343472,   -5.136997,   -7.850975,   -7.124398,   -7.315905,   -5.428572,   -4.380831,   -5.940115,   -8.098783,   -7.172788,   -6.852342,   -7.074672,   -8.813031,   -7.212960,   -6.356314
Mult,SI,251114 12:32:29.256666,    5.608583,101082.984219,   24.510355,   51.014480,   18.499835,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.078165,   -0.153867,    0.043315,   -0.168104,    0.000000,    0.000000,   44.296875,   -0.786577,   -0.849454,   -2.346169,   -1.803702,   -1.186030,   -1.832469,   -0.803426,   -3.594254,   -1.416989,   -0.946029,   -1.894113,   -0.586440,   -2.192470,    1.029043,    0.602467,   -0.261370,   -1.792195,    1.495893,   -2.243018,   -0.380138,   -1.450688,    0.987536,   -0.511234,    0.872467,   -2.318224,   -0.896303,    0.072329,    2.007538,   -1.359455,   -3.004527,   -1.620003,   -1.511510,   -0.855310,    0.757823,   -2.538293,    0.083836,   -2.688088,   -2.244662,   -1.226304,   -3.381788,    3.177952,    2.839732,    1.143290,    2.013292,   -5.878162,  -25.443109,   -7.351658,   -6.778370,   -5.350593,   -7.289090,   -6.109738,   -5.173392,   -7.830016,   -6.213095,   -8.264400,   -8.435770,   -6.557171,   -7.310973,   -5.093538,   -7.675495,   -5.801929,   -5.104942,   -8.634675,   -7.624125
Mult,SI,251114 12:32:29.266666,    5.609472,101082.984219,   24.600363,   50.849009,   18.499835,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.009250,   -0.201376,    0.017998,    0.119617,    0.000000,    0.000000,   44.296875,   -1.010139,   -0.599590,   -1.866579,    0.918495,   -2.090963,   -1.237400,   -1.393975,   -0.366165,    0.089589,   -2.160415,   -1.345482,   -1.708771,   -0.584385,   -0.244521,   -0.688768,   -1.018358,   -0.923837,    1.527948,    0.436439,    0.513700,    0.669042,   -1.749045,   -2.335484,   -1.268633,   -1.162194,    2.071237,    0.287261,   -1.152537,   -0.957536,   -0.835481,   -1.612195,   -0.334521,   -2.003840,    0.168404,   -0.550275,   -0.007808,   -2.005483,   -0.542056,   -1.194249,    1.663154,    0.274932,   -1.291235,   -2.087881,    1.624524,   -7.220357,  -25.941070,   -5.458572,   -6.648506,   -7.604604,   -4.766619,   -7.390289,   -5.887769,   -7.027411,   -6.458848,   -7.355768,   -9.653855,   -6.357341,   -7.158918,   -5.520011,   -7.200836,   -7.719467,   -5.323572,   -7.494056,   -9.430704
Mult,SI,251114 12:32:29.276666,    5.609275,101082.984219,   24.584822,   50.744118,   18.499835,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.067697,   -0.130908,    0.028401,   -0.053016,    0.000000,    0.000000,   44.296875,   -2.778910,   -0.563426,   -1.353701,   -1.084934,   -2.082744,   -1.092742,   -3.076034,    1.460551,   -3.294253,   -0.935344,   -2.000141,   -2.680279,   -1.199180,    2.030141,   -1.093975,   -0.532604,   -0.330823,    0.101507,   -0.258083,   -1.922881,   -0.076439,   -1.087399,   -0.881920,   -0.006986,   -0.233836,   -2.557402,    0.191918,    1.009934,    1.847264,   -0.736440,   -0.977262,   -1.519318,   -1.355653,   -0.606731,   -2.059936,   -1.317537,   -1.588770,   -0.331234,   -1.596168,    1.638907,    0.246576,   -2.476854,    2.030346,   -2.283292,   -5.666107,  -24.759795,   -7.409398,   -7.693371,   -8.381267,   -6.433266,   -5.742340,   -5.526484,   -8.674949,   -7.010254,   -5.773573,   -7.883029,   -7.054021,   -6.872068,   -5.835012,   -7.605221,   -6.460287,   -6.909055,   -7.095631,   -6.852342
Mult,SI,251114 12:32:29.286666,    5.607186,101082.984219,   24.385032,   50.735123,   18.499835,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.015288,   -0.211831,    0.036714,    0.271830,    0.000000,    0.000000,   44.296875,    0.586850,   -0.327946,    0.467261,   -0.320960,   -2.211785,   -0.892605,   -1.767127,   -1.526304,   -1.342194,   -0.415891,   -1.077947,   -1.859593,   -2.051100,    0.780002,   -1.246030,   -1.359455,    1.106304,   -1.450688,    0.168083,   -1.844798,   -1.800004,   -0.150411,   -0.570412,    0.345206,   -1.098906,    0.161507,    1.335208,   -1.456647,   -0.965344,   -2.061374,   -1.374249,   -1.865346,    0.026918,   -0.474851,   -0.547604,   -0.075206,   -1.340962,   -0.224795,   -0.235891,   -0.631645,    1.022057,   -3.384664,    1.993155,   -1.469592,   -6.363300,  -24.134578,   -6.260971,   -7.842550,  -10.320072,   -6.057238,   -7.911386,   -6.688729,   -8.769059,   -9.304539,   -7.676933,   -4.977133,   -6.101211,   -7.611796,   -4.355043,   -8.004262,   -7.462618,   -7.997276,   -6.907411,   -7.405905
Mult,SI,251114 12:32:29.296666,    5.606804,101082.984219,   24.352957,   50.583673,   18.499835,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.151301,   -0.177732,    0.014379,    0.095021,    0.000000,    0.000000,   44.296875,   -0.156987,    0.477124,   -0.874111,    0.131918,   -1.537811,   -2.216306,   -2.069182,   -1.716579,   -1.733428,   -0.134795,   -0.895070,   -1.041783,   -2.232333,    0.030822,    0.491097,   -3.385897,   -1.908086,    0.514522,   -0.884385,   -0.549864,   -0.706029,   -2.250004,   -2.762882,   -0.135206,    0.713426,   -0.986303,    0.241233,   -0.434384,    0.643152,   -1.763428,   -0.449590,   -3.797679,   -1.014043,   -0.892027,    0.908837,   -0.694933,   -0.112192,   -1.911374,    0.611508,    0.209589,   -1.790141,   -0.173014,    0.316234,    0.842056,   -7.151521,  -23.351670,   -7.447823,   -8.483852,   -7.114946,   -8.113989,   -6.734397,   -7.058387,   -6.444259,   -7.558782,   -8.820839,   -8.974538,   -5.876210,   -7.963577,   -5.258024,   -8.456729,   -4.821379,   -6.422889,   -8.331797,   -6.582753
Mult,SI,251114 12:32:29.306666,    5.606707,101082.984219,   24.338606,   50.752583,   18.499835,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.020312,   -0.157051,    0.041351,   -0.007073,    0.000000,    0.000000,   44.296875,   -1.435893,    0.687125,   -1.367674,   -1.427263,   -1.309318,    1.759730,   -1.010550,   -1.534524,   -1.768771,   -0.659590,    0.111370,   -1.473291,   -3.360829,    0.732330,   -0.979728,   -0.908221,   -1.350003,   -1.474934,   -1.706305,   -1.120276,   -2.520005,    1.074660,   -0.425343,   -1.831237,   -0.318905,   -0.098219,   -1.710414,   -0.253562,   -0.288083,   -0.166850,   -2.659731,   -2.748910,   -1.460551,    0.340660,   -0.282946,   -1.816031,   -2.136991,    1.171235,   -1.601099,    2.510142,   -1.017536,   -1.411647,   -0.713221,    1.686990,   -8.559880,  -24.662969,   -5.878984,   -6.637410,   -7.655255,   -6.739123,   -7.721111,   -7.251641,   -7.491385,   -6.018813,   -5.745011,   -8.092208,   -6.632068,   -7.322069,   -6.838370,   -7.127685,   -8.044537,   -7.173713,   -6.694534,   -9.813307
Mult,SI,251114 12:32:29.316666,    5.610462,101082.984219,   24.685544,   51.161962,   18.499835,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.001486,   -0.188295,    0.018934,    0.145604,    0.000000,    0.000000,   44.296875,   -0.725755,    1.393975,   -0.676029,   -0.705618,   -1.551784,   -0.948495,   -0.531371,   -1.391921,   -2.640005,   -0.750001,   -3.152472,   -1.873154,   -2.589046,    0.300823,   -0.069041,   -2.419731,    1.054934,   -2.359731,   -1.508222,    0.529727,   -1.943018,    0.020959,    0.324247,   -1.099317,   -0.646029,    0.415480,   -0.107260,    0.428836,   -1.289592,   -0.602878,   -0.909454,   -1.304386,   -1.304489,    1.336480,   -1.007262,   -1.597811,   -1.691510,   -1.513565,   -1.640551,   -1.829593,   -0.642741,   -0.638220,   -0.998427,   -0.522330,   -7.515220,  -25.382248,   -7.340768,   -7.555084,   -8.848374,   -7.073028,   -8.539332,   -4.545651,   -8.470291,   -6.824500,   -6.206930,   -9.083443,   -6.176211,   -7.198370,   -5.338880,   -7.138781,   -8.011660,   -8.672483,   -6.770972,   -6.598780
