Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:44:05.481166,   14.580092,101061.121929,   24.161897,   51.434044,  125.150005,    0.000000,  499.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.186954,   -0.282491,    0.024824,   -0.349018,    0.000000,    0.000000,   44.476562,   -1.996442,   -0.005342,    2.869321,   -2.494115,   -0.568768,    1.026166,    1.088632,    0.713837,   -0.584385,   -1.299044,    0.167261,    0.200548,   -1.050413,   -2.059730,   -1.274386,   -0.439727,   -1.393975,    0.943153,    0.255206,    0.774248,   -0.220274,   -0.084658,   -1.249729,   -1.895346,   -3.038225,   -0.376850,   -1.168769,    0.912536,   -2.674115,    0.706029,   -1.742880,   -0.461097,    1.116989,    2.434256,   -0.434384,   -0.543700,    0.349316,    0.840413,   -1.053701,    0.940687,    1.772880,   -4.675489,   -2.181374,   -1.792195,  -21.761550, -150.027717,  -21.987989,  -19.914081,  -18.073187,  -21.617714,  -18.839216,  -21.268681,  -19.119079,  -22.988059,  -20.385041,  -21.968674,  -20.426034,  -19.736752,  -18.897983,  -20.328534,  -19.063600,  -19.103052,  -18.561407,  -22.653333
Mult,SI,251114 12:44:05.491166,   14.585058,101061.121929,   24.340392,   51.575574,  125.150005,    0.000000,  499.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.288296,   -0.161156,    0.028618,    0.199044,    0.000000,    0.000000,   44.476562,   -1.316715,   -0.002466,   -0.187809,   -0.272466,    0.248220,    0.161507,   -0.923016,   -0.362877,   -0.495617,   -2.116032,   -1.770004,   -0.927536,   -0.597535,   -1.220139,   -0.774248,   -2.182607,    0.097808,   -0.883152,   -1.868634,   -0.240822,   -2.874252,   -2.225758,   -1.652880,   -1.316304,    0.906166,   -0.300412,    0.853974,    0.860550,    0.834659,   -2.004662,   -2.033018,   -0.117534,    0.831782,   -1.278303,    0.097603,    0.119178,   -1.573565,    1.059454,    0.995344,   -1.151098,    2.230689,   -7.089466,    0.551508,   -1.738360,  -22.471483, -150.838450,  -23.865253,  -20.602644,  -24.081931,  -21.808502,  -18.390858,  -21.187439,  -20.644151,  -27.200191,  -20.978466,  -22.134702,  -21.356036,  -19.151134,  -20.112677,  -19.608943,  -22.197167,  -21.138946,  -22.441688,  -21.669084
Mult,SI,251114 12:44:05.501166,   14.581213,101061.121929,   24.196088,   51.668693,  125.150005,    0.000000,  499.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.024699,   -0.322449,    0.037022,    0.423188,    0.000000,    0.000000,   44.476562,   -0.756166,   -0.386713,   -1.033153,   -0.368631,   -1.873154,   -0.517398,   -1.056577,   -0.917673,   -1.308496,   -1.230002,   -0.723289,   -0.249453,   -0.123699,   -0.216165,   -0.727810,   -1.435893,   -1.736305,   -1.631510,   -1.402195,   -1.730140,   -1.161372,   -1.710825,   -1.757675,   -1.466304,   -1.604387,   -0.136439,    0.720823,   -1.165482,   -0.803015,   -0.538357,   -2.495347,   -1.014660,   -0.271336,   -0.427565,   -0.019932,    0.100685,   -0.787399,    0.741782,    0.240000,   -1.633154,    1.377948,   -0.484522,   -1.163016,   -2.952335,  -23.060388, -149.360870,  -25.646352,  -24.053061,  -25.207704,  -25.961867,  -27.631699,  -23.702718,  -25.578955,  -26.425840,  -26.816149,  -23.745664,  -25.728647,  -24.335802,  -24.815186,  -24.813748,  -23.644568,  -24.910734,  -26.707245,  -23.333060
Mult,SI,251114 12:44:05.511166,   14.579849,101061.121929,   24.149596,   51.546078,  125.150005,    0.000000,  499.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.222890,   -0.151129,    0.017562,    0.072818,    0.000000,    0.000000,   44.476562,   -2.556991,   -2.134114,   -1.476578,   -0.756577,   -0.547398,   -1.301509,   -1.130139,   -2.013703,   -1.577263,   -0.975207,   -0.950961,   -0.273288,    0.411782,   -0.716714,   -1.361510,   -1.001098,   -0.544111,    0.632056,   -2.297265,   -0.914385,   -1.122742,   -0.414247,   -2.018634,   -0.428631,   -1.555072,   -0.330412,    0.823974,    1.255276,   -0.288905,   -0.742193,   -1.923291,   -1.947949,    0.336679,   -1.237926,    0.207124,    0.149178,    1.343427,   -0.166028,   -0.729043,   -0.756166,    0.548220,   -2.020689,    3.695350,    0.712604,  -24.136486, -148.710617,  -27.213342,  -27.204917,  -26.325052,  -26.441765,  -27.867179,  -27.044257,  -26.290326,  -30.029238,  -27.692110,  -29.483894,  -28.510433,  -27.487863,  -24.583405,  -28.908140,  -26.926903,  -26.481422,  -26.794574,  -28.558824
Mult,SI,251114 12:44:05.521166,   14.582242,101061.121929,   24.233983,   51.669619,  125.150005,    0.000000,  499.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.066989,   -0.314641,    0.042729,   -0.234394,    0.000000,    0.000000,   44.476562,   -1.907675,   -2.308361,   -0.731919,   -0.422467,   -0.087123,   -0.536713,    0.048904,    2.059319,   -0.600823,   -1.179454,   -0.193151,   -0.657125,   -1.335208,    0.009041,   -0.105206,   -0.294658,   -0.633289,    0.192329,   -0.512467,    0.092877,    0.076439,    0.070685,    1.018358,    0.645207,    0.145480,    0.514111,    0.012740,   -0.099041,   -1.524250,   -1.821784,   -1.102605,   -1.366030,    2.378840,    1.026231,    1.113495,   -1.149865,    0.597124,    0.218631,   -2.044936,   -0.813289,    0.065343,   -0.333288,    0.175069,    0.687125,  -25.523475, -151.386324,  -27.246424,  -24.968269,  -27.163718,  -26.133031,  -28.256768,  -28.341118,  -25.428133,  -30.500814,  -25.968750,  -29.778963,  -28.327248,  -26.871423,  -26.652587,  -28.829646,  -28.584714,  -26.700464,  -28.752386,  -30.305814
Mult,SI,251114 12:44:05.531166,   14.578861,101061.121929,   24.116728,   51.427827,  125.150005,    0.000000,  499.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.301020,   -0.191069,    0.023428,   -0.159679,    0.000000,    0.000000,   44.476562,   -1.015892,   -0.226850,    0.355891,   -1.237400,   -1.513154,   -1.179043,    0.383836,    0.088767,    0.969043,   -1.423564,   -1.621647,   -2.844663,   -0.057123,   -0.099452,    0.316439,   -2.128771,   -0.369042,    1.219317,   -1.608496,   -0.224795,   -1.232879,   -1.958634,    0.545344,   -2.037538,   -0.472604,   -1.033153,   -0.600001,   -1.360071,   -2.123840,    0.897125,   -1.656579,   -1.507400,   -1.420277,    0.253562,    1.102605,   -0.851098,    0.217398,   -0.523563,   -1.460551,    0.153699,    2.207676,   -3.408500,    0.314795,   -1.202057,  -23.756760, -151.148353,  -31.445199,  -28.570742,  -28.269765,  -28.563344,  -29.635949,  -29.257044,  -27.889781,  -29.503518,  -30.277252,  -30.521567,  -29.582114,  -28.672660,  -27.322760,  -29.981977,  -27.175533,  -28.520194,  -29.192113,  -29.715675
Mult,SI,251114 12:44:05.541166,   14.576131,101061.121929,   24.020437,   51.282197,  125.150005,    0.000000,  499.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.178843,   -0.286203,    0.031681,    0.199044,    0.000000,    0.000000,   44.476562,   -1.486852,   -2.678635,   -0.343973,   -0.326302,   -2.596444,   -2.247128,   -1.249729,    1.467948,   -1.743291,   -0.126576,    0.734385,   -2.201100,   -0.656303,   -0.112603,   -0.915618,   -1.264112,   -2.210963,    0.962057,    0.464384,    0.566713,   -0.162740,    0.705207,   -1.155619,    1.227126,   -2.076990,   -2.861513,    0.464795,    0.062671,   -0.465617,   -4.090693,   -1.855072,   -1.096030,   -0.960207,   -0.597176,    0.773837,    0.790276,   -1.560414,    1.462606,   -2.728773,   -0.361234,   -0.482878,   -1.928223,   -1.670757,    1.047536,  -23.726349, -149.665237,  -29.290949,  -29.521908,  -32.229670,  -28.105946,  -29.310880,  -29.201025,  -29.361017,  -30.137834,  -27.249917,  -30.094580,  -30.240060,  -29.556634,  -27.532144,  -29.686908,  -29.718141,  -26.989780,  -29.951155,  -29.745265
Mult,SI,251114 12:44:05.551166,   14.583044,101061.121929,   24.269827,   51.458779,  125.150005,    0.000000,  499.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.200575,   -0.225409,    0.043351,   -0.047839,    0.000000,    0.000000,   44.476562,    0.087945,    1.069317,    0.060411,   -1.200824,   -0.530138,   -0.789865,   -0.106439,    1.574387,   -0.970687,   -1.190139,   -1.102194,   -0.983016,   -2.565622,    0.504659,   -1.913428,   -0.770139,   -1.677127,    0.677673,    0.502193,   -0.063288,   -1.601099,    1.089454,   -1.884250,   -0.999454,    0.917262,   -0.439727,   -0.009041,    0.331439,   -2.220004,   -1.607263,   -2.908362,   -0.209589,    0.038014,    1.061226,    0.514727,   -1.120276,    0.085480,   -0.366165,    0.216165,    0.760686,    2.855759,   -0.576987,   -2.115826,   -1.443291,  -24.706076, -152.188748,  -31.464515,  -28.659304,  -31.489480,  -28.622317,  -30.347732,  -26.212372,  -30.448006,  -33.215511,  -30.696636,  -31.733899,  -31.597666,  -30.012388,  -29.104373,  -32.154310,  -30.212115,  -29.106633,  -28.752386,  -28.448276
Mult,SI,251114 12:44:05.561166,   14.577651,101061.121929,   24.076717,   51.273070,  125.150005,    0.000000,  499.000000,   33.700000,    2.900000,   27.100000,   13.400000,    0.210379,   -0.173632,    0.016149,    0.510897,    0.000000,    0.000000,   44.476562,   -2.403292,    0.926303,    1.270687,   -0.860961,   -2.266854,   -0.158630,   -0.781645,    0.809180,   -0.611508,   -1.571921,   -1.361921,   -1.324523,   -1.329866,   -0.748358,    0.683426,   -0.214110,   -0.690001,   -3.101513,   -0.279042,   -0.448357,   -1.378359,    0.525617,   -0.588905,   -2.356854,   -1.670551,   -0.035343,   -0.308631,    0.833221,   -0.034521,   -1.348359,   -1.476167,   -1.082879,    0.075719,   -1.259463,    0.001438,    0.874111,   -1.056577,   -1.698086,   -1.360277,   -0.510823,    2.224936,    1.273153,   -2.814663,    1.972196,  -24.177788, -151.380789,  -31.656638,  -28.521016,  -29.854323,  -29.393997,  -27.811288,  -30.094529,  -31.085404,  -29.492011,  -28.981701,  -31.785680,  -32.302872,  -28.900742,  -31.645440,  -30.411841,  -31.230884,  -31.064034,  -29.618073,  -30.990883
