Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:50:55.441906,    8.587656,101043.450494,   24.114744,   50.929694,   43.419389,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.152780,    0.084729,    0.005059,    0.071037,    0.000000,    0.000000,   44.476562,   -0.850687,   -0.973153,   -0.953838,    0.322603,   -1.033975,    0.486987,    0.244932,   -2.968773,   -0.484932,   -0.251507,    1.001920,   -1.170413,   -0.294247,   -0.815344,   -1.131372,   -1.811921,    0.105617,   -0.936577,   -0.428220,   -0.945618,   -2.360553,    0.318083,   -2.373292,   -2.266443,    1.079591,   -0.876988,    0.062466,   -2.028703,   -1.804113,   -0.632467,   -0.462330,   -0.151644,   -0.905961,   -0.678957,   -0.676851,   -2.068771,   -0.871646,   -2.232744,    0.116713,   -1.120276,   -3.230554,   -0.253151,   -2.861718,   -0.014795,  -12.527080,  -55.136604,  -13.094204,  -12.730299,  -12.144373,  -11.232248,  -13.391533,  -11.486376,  -10.906049,  -15.081605,  -11.786530,  -12.326326,  -11.076597,  -11.963448,  -12.115812,  -12.496463,  -13.597424,  -13.570301,  -13.982494,  -12.424545
Mult,SI,251114 12:50:55.451906,    8.589285,101043.450494,   24.222740,   50.727981,   43.419389,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.083942,    0.171847,    0.017879,    0.284043,    0.000000,    0.000000,   44.476562,   -2.196991,   -2.953568,   -3.358363,   -1.958634,   -2.898910,    2.375347,   -2.123429,    0.288494,   -0.911509,   -1.604387,   -0.265069,   -2.931376,   -1.823017,   -1.024523,   -1.066440,   -1.766305,   -2.294799,   -0.022192,    0.499316,   -0.326302,    1.019180,   -1.359866,    0.685070,   -1.750277,   -0.475069,    0.049315,   -2.199867,   -1.787469,    0.957125,    1.291235,   -0.284384,   -0.507946,   -0.214521,   -1.467781,   -1.804935,   -2.114388,    0.718769,   -1.495893,   -2.040826,    1.412469,    0.073973,    0.983016,   -0.200137,   -1.858771,  -12.168723,  -56.439866,  -13.288999,  -12.088997,  -11.412608,  -11.650400,  -12.598381,  -13.080231,  -13.225506,  -12.838176,  -10.970364,  -13.518931,  -11.268207,  -13.122766,  -12.104613,  -12.066188,  -13.624959,  -14.116466,  -11.303447,  -13.546465
Mult,SI,251114 12:50:55.461906,    8.590321,101043.450494,   24.279813,   50.986438,   43.419389,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.213913,    0.150790,   -0.008223,   -0.076072,    0.000000,    0.000000,   44.476562,   -0.706029,   -1.741647,   -1.403016,    0.648083,   -1.804113,   -0.066575,   -1.796716,   -0.821508,   -0.227672,   -0.965344,   -0.845344,   -1.173290,   -2.621923,   -0.322603,   -1.096030,   -0.020959,   -0.244932,   -0.874933,   -0.631645,    1.238222,   -0.828495,   -1.378770,    0.717125,   -0.816166,   -2.134114,   -1.350003,   -0.438494,   -0.707467,   -0.869591,   -0.272055,   -1.878497,   -2.157539,    1.235756,   -2.867728,   -0.283768,   -1.551373,   -0.367809,    0.724933,   -1.681647,   -0.720001,   -2.929321,   -2.801512,   -0.910481,   -2.831923,  -11.407831,  -57.043071,  -12.314819,  -12.028175,  -13.126670,  -12.585025,  -13.467150,  -10.864516,  -13.598657,  -16.230443,  -12.922217,  -11.010433,  -13.955884,  -14.723865,  -12.277524,  -13.702219,  -14.977427,  -13.805370,  -13.919822,  -14.086055
Mult,SI,251114 12:50:55.471906,    8.591172,101043.450494,   24.329083,   51.114609,   43.419389,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.125353,    0.137395,    0.018836,   -0.357296,    0.000000,    0.000000,   44.476562,    0.055069,    1.167126,   -0.572056,   -0.473015,   -1.427674,   -0.266713,   -1.810278,   -0.844111,   -0.418357,   -1.097673,    0.363288,   -1.731784,   -0.510001,    0.498494,   -0.807947,    0.070274,   -0.733152,   -2.894389,   -0.553152,   -2.205621,   -1.516441,   -0.245754,   -4.219734,   -0.758632,   -2.051511,   -2.210963,   -2.314114,   -1.337879,   -0.750412,   -0.909865,   -0.558905,   -0.043973,   -0.690721,   -0.108211,   -0.596714,   -3.588911,   -0.694933,   -0.897947,   -0.150411,   -0.924248,    1.247674,   -3.202198,   -1.820552,   -1.697264,  -11.358105,  -55.191942,  -11.562352,  -10.377555,  -13.830336,  -12.980779,  -14.156740,  -14.158693,  -14.847975,  -16.464793,  -14.460234,  -11.833174,  -13.014581,  -13.890850,  -12.954991,  -13.297424,  -11.868106,  -13.878521,  -13.070368,  -13.551808
Mult,SI,251114 12:50:55.481906,    8.590360,101043.450494,   24.278557,   51.106012,   43.419389,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.192680,    0.116557,   -0.002237,   -0.168886,    0.000000,    0.000000,   44.468750,   -0.711782,   -0.207535,   -0.767262,   -1.536989,    0.597535,   -1.696442,    0.147124,   -2.475210,   -0.833426,   -0.365754,   -0.662467,   -1.048769,   -2.262333,    1.208222,   -1.550140,   -0.004932,   -1.259181,   -0.140137,   -3.151650,   -1.699729,   -0.086302,   -0.436439,   -0.978495,   -0.422878,   -1.691921,   -2.396717,   -0.795207,    1.230824,   -0.877399,   -0.933290,   -0.851509,    0.273288,   -0.749899,   -0.339748,   -1.259592,    1.195071,   -1.328222,   -1.084934,   -0.728221,    0.276987,   -2.400827,    1.305208,    0.764180,   -0.916851,   -7.851591,  -56.511810,  -12.660436,  -12.976464,  -11.482934,  -15.029516,  -12.780436,  -15.483652,  -12.599614,  -14.058521,  -13.218930,  -11.930572,  -12.034544,  -11.783037,  -11.527523,  -13.623315,  -11.215091,  -13.867425,  -14.419549,  -13.268656
Mult,SI,251114 12:50:55.491906,    8.590738,101043.450494,   24.304944,   51.014612,   43.419389,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.150044,    0.195250,    0.003705,    0.133222,    0.000000,    0.000000,   44.468750,   -1.319181,    0.858495,    0.058356,   -3.917268,   -0.580275,   -0.280685,   -1.769593,   -1.749456,   -0.994523,    0.382193,    0.440138,   -0.286028,   -2.608772,    0.005753,   -0.413425,    1.614250,   -1.660688,    0.720823,   -0.642741,   -0.258905,   -0.627946,   -2.563567,   -1.249729,    0.246576,    2.258224,   -1.448222,   -1.209043,   -2.215073,   -2.035073,   -0.865070,    0.277398,   -1.061509,   -0.475480,   -0.183596,   -2.080278,   -1.392332,   -0.766440,   -1.140824,   -1.430962,    1.115756,    0.434795,    0.077671,   -0.576576,   -3.484117,  -11.553927,  -54.718786,  -14.159001,  -12.442833,  -11.477334,  -13.544821,  -12.544956,  -10.099772,  -11.797010,  -11.695092,  -12.873724,  -11.916599,  -12.245572,  -12.092901,  -12.539511,  -12.358792,  -12.064955,  -12.026325,  -13.267013,  -13.306465
Mult,SI,251114 12:50:55.501906,    8.589954,101043.450494,   24.259378,   50.903240,   43.419389,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.198303,    0.149410,    0.016457,    0.054330,    0.000000,    0.000000,   44.468750,   -1.756442,   -3.304116,   -2.289868,   -2.785074,   -2.285758,   -0.392056,   -0.517398,   -0.600412,    0.303288,    0.663289,   -0.145480,   -1.120276,   -0.473015,   -0.823152,   -1.873976,   -1.790552,   -1.401784,   -2.261511,   -0.482467,    0.842467,   -0.462741,    0.004932,   -0.062055,   -0.717947,   -1.128906,   -2.486717,   -0.710549,   -0.139932,   -2.151785,    0.185343,   -1.800415,   -1.153153,    0.646542,    1.057515,   -1.620414,   -1.928634,    0.718769,   -0.003699,   -1.452332,   -1.057399,   -1.079591,    2.594800,   -2.368155,   -1.024934,  -11.074132,  -55.407773,  -15.616264,  -12.196668,  -12.912765,  -14.313830,  -12.676875,  -11.368713,  -13.126053,  -13.003998,  -13.598452,  -11.549612,  -12.145606,  -13.814822,  -11.708756,  -12.251942,  -11.340844,  -10.366048,  -11.188789,  -13.082903
Mult,SI,251114 12:50:55.511906,    8.589793,101043.450494,   24.237290,   51.302699,   43.419389,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.062050,    0.096413,   -0.007323,   -0.071432,    0.000000,    0.000000,   44.468750,   -1.416989,   -0.605755,   -2.052744,   -0.950961,    1.018358,   -1.743702,   -0.519864,   -2.279183,   -0.471782,   -0.007808,   -0.095343,   -0.278220,   -2.592745,   -0.314795,   -0.264247,   -1.994798,   -0.180411,   -1.987812,    0.429042,   -1.546030,   -0.088767,   -0.915618,    0.634111,   -1.034797,   -0.853974,    0.604111,   -0.351371,   -1.823017,   -0.703563,   -1.469181,   -1.175756,   -2.283292,    2.793601,    1.278277,   -0.516371,    0.281507,   -0.581508,    0.653015,    1.944661,   -1.425208,   -1.772880,   -0.844933,   -1.232879,   -2.289868,  -10.668925,  -54.848835,  -13.096875,  -12.943176,   -9.417039,   -9.823376,  -12.421669,  -12.382756,  -11.965092,   -9.454437,  -12.137490,  -13.091533,  -10.496322,  -11.383584,   -9.888205,  -12.926327,  -13.013040,  -11.544680,   -9.692690,  -10.960296
Mult,SI,251114 12:50:55.521906,    8.593143,101043.450494,   24.459102,   50.891732,   43.419389,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.079861,    0.134828,    0.015170,   -0.232463,    0.000000,    0.000000,   44.468750,   -2.623567,   -1.343427,   -2.764115,   -0.419179,    0.297535,   -1.040139,    0.754111,    0.033288,   -1.051235,    0.307809,    1.444523,   -0.058356,   -1.122742,   -0.648494,   -0.802604,   -3.519870,   -1.194249,   -1.097262,   -0.509590,   -1.785620,   -1.392332,   -2.245073,    0.168904,   -1.843154,   -0.452878,   -2.104114,   -1.527537,   -1.417400,   -1.601510,    0.164795,    0.107671,   -1.242331,   -0.892502,    0.058703,    2.159388,   -0.675207,    1.765894,   -0.580275,   -0.422467,   -0.839591,    2.162470,   -0.996166,   -0.496850,   -3.838775,  -10.470432,  -55.136604,  -14.205645,  -12.456600,  -10.188257,   -9.837451,  -10.658651,  -10.335072,  -13.706740,  -12.272285,  -13.598452,  -13.793863,  -12.972971,  -10.320021,  -12.394545,  -11.498653,  -12.701532,  -14.497426,  -13.526534,  -12.189887
