Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:50:21.403286,    5.627400,101041.634457,   24.207000,   50.851786,   18.637894,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.058573,    0.002136,    0.004854,   -0.274229,    0.000000,    0.000000,   44.460937,    0.121644,   -2.033429,   -1.930278,   -3.215349,   -0.527672,   -2.113566,    0.454521,    0.994523,   -0.895070,    1.713702,    1.987812,   -2.293155,    0.280685,   -0.150411,   -2.104936,   -0.421234,    0.569590,    0.911509,   -3.721651,    0.971509,    0.406028,   -0.125754,    0.663700,   -2.750142,   -1.304386,   -2.637129,   -2.902198,    0.328768,    0.733974,   -2.373292,    1.142468,   -0.925070,   -0.142603,    0.379586,   -1.234934,   -1.665620,    0.896714,   -0.878221,   -0.844933,    0.269590,   -1.943429,    0.170959,    0.490686,   -0.221096,   -5.259668,  -25.885720,   -6.785561,   -6.713849,   -5.856330,   -7.296795,   -5.926861,   -7.808132,   -6.525629,   -6.689911,   -6.370081,   -8.063030,   -6.735938,   -7.039740,   -6.339465,   -7.397275,   -7.829605,   -7.344672,   -7.819742,   -6.591383
Mult,SI,251114 12:50:21.413286,    5.628864,101041.634457,   24.336027,   51.209712,   18.637894,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.148694,    0.004009,    0.004008,   -0.108557,    0.000000,    0.000000,   44.460937,    1.336441,    0.625481,    1.542332,   -1.177400,    0.479179,   -0.756166,   -2.461238,   -3.036170,   -0.957536,   -0.798084,    0.066165,   -0.598357,   -0.369042,   -0.317261,   -0.571234,   -1.449455,   -3.645624,    0.002055,   -2.356854,   -0.005753,   -2.885759,   -0.907810,   -1.537400,   -1.056577,   -1.255071,    0.065754,    0.969043,   -1.749045,    0.243699,   -2.349868,   -0.253151,    0.401919,    0.605344,    1.749854,   -2.309388,   -2.029319,   -0.485343,   -3.977268,    0.676440,   -0.231781,    3.324253,    1.311783,    0.932879,   -2.402471,   -6.161108,  -24.908996,   -9.742622,   -9.727417,   -6.196913,   -9.168614,   -8.270153,   -6.203257,   -8.642894,   -8.158886,   -4.964393,   -9.951801,   -5.786005,   -7.031521,   -8.059537,   -8.254537,   -9.417142,   -7.117822,   -7.713303,   -9.045223
Mult,SI,251114 12:50:21.423286,    5.629363,101041.634457,   24.381858,   51.265002,   18.637894,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.041063,    0.066809,    0.011245,   -0.023633,    0.000000,    0.000000,   44.460937,   -0.850687,   -0.594659,   -0.725344,   -0.798495,   -1.587126,    0.339453,   -1.377537,   -0.731919,   -1.032331,   -2.508909,   -2.361375,   -2.566032,   -0.574111,   -1.694798,   -0.772604,   -2.440279,    0.423699,   -3.892200,   -3.973570,   -2.580005,   -2.220004,   -1.220961,   -2.150141,   -1.562058,   -1.134249,   -0.355069,   -2.646581,    0.235685,   -1.640551,   -1.811510,   -1.301098,   -2.021100,   -0.530035,   -1.776772,   -0.091028,   -2.560279,    0.057945,   -0.152055,   -0.187398,   -0.969454,   -1.514387,   -1.707127,   -1.032742,   -1.398496,   -6.456177,  -25.075012,   -6.749808,   -7.880564,   -4.964137,   -8.730839,   -7.821796,   -7.684870,   -8.964675,   -7.050014,   -6.444259,   -7.188507,   -6.566520,   -7.307275,   -8.313201,   -7.152754,   -8.922346,   -8.039194,   -7.784194,   -7.723988
Mult,SI,251114 12:50:21.433286,    5.629069,101041.634457,   24.353486,   51.276906,   18.637894,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.098690,    0.051107,   -0.005768,    0.072429,    0.000000,    0.000000,   44.460937,   -1.467126,   -2.111922,   -1.045892,   -1.933155,   -1.413701,   -1.337674,   -1.886716,   -0.028356,   -2.236443,   -2.224936,   -0.034521,   -1.032742,   -1.900278,   -1.461784,   -0.799728,   -0.477535,    0.278220,   -1.588359,   -0.341508,   -1.809867,   -0.625481,   -2.754252,   -0.575344,   -1.690277,    1.110002,    0.016438,   -0.980139,   -0.806097,   -1.235756,   -2.125073,   -0.057123,   -1.433838,   -2.340724,   -0.185754,   -1.844387,   -0.442193,   -1.497948,   -1.444112,    0.757810,   -0.332466,   -2.551238,   -1.017536,    0.964112,   -1.756031,   -7.660906,  -25.542622,  -10.770432,   -9.080566,   -7.837772,   -6.303300,   -9.055086,   -8.536404,   -9.177963,   -8.661798,   -5.383572,   -7.331932,   -7.122446,   -9.212073,   -6.818952,   -9.066593,   -8.154674,   -9.233032,   -9.135429,   -6.558917
Mult,SI,251114 12:50:21.443286,    5.628900,101041.634457,   24.342111,   51.119106,   18.637894,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.022469,    0.111987,    0.013041,   -0.214828,    0.000000,    0.000000,   44.460937,   -2.459183,   -0.860961,   -2.039182,   -1.392742,    0.023014,   -0.784111,    0.038219,   -2.060552,    1.805757,    0.467261,   -1.009728,   -2.399183,   -2.400827,   -0.426165,   -2.292744,   -0.300412,   -1.226715,   -1.030276,   -1.361510,    0.290549,   -0.017260,   -2.588224,   -0.011096,   -1.236989,   -1.266167,   -1.696853,    1.799593,   -0.882741,   -0.036575,    0.232603,   -0.263425,   -1.512332,   -0.338939,    0.998761,   -0.125754,   -2.751786,    0.809591,   -4.495077,   -1.251783,   -0.152466,   -1.659044,   -1.855894,    2.943910,   -1.699318,   -6.902685,  -24.300273,   -8.865840,   -8.065906,   -7.758971,   -8.410907,   -8.673716,   -8.852920,   -7.376316,   -8.255975,   -9.224196,   -6.618095,   -7.963783,   -5.936724,   -7.605118,   -9.384265,   -9.318512,   -7.344672,   -8.188167,   -8.762072
Mult,SI,251114 12:50:21.453286,    5.628283,101041.634457,   24.281268,   51.188152,   18.637894,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,   -0.003075,    0.028321,    0.002680,   -0.113662,    0.000000,    0.000000,   44.460937,   -0.014795,   -3.175075,   -1.101783,   -0.376439,   -2.596444,    0.909454,   -0.544522,   -0.785344,   -2.542197,   -0.617672,   -1.269455,   -1.321646,    0.331234,    0.829728,   -1.490551,   -0.920550,   -3.063294,    0.696577,   -0.856851,   -1.247263,   -1.560003,   -0.245754,   -3.800145,   -2.102881,   -1.999319,   -2.377402,    0.440960,    1.164865,   -0.275343,   -0.389590,   -0.867125,   -1.942607,   -1.600791,   -1.276043,   -2.566032,    0.808358,   -0.925892,   -1.961922,    0.583563,   -0.882331,    0.553974,   -0.249453,   -1.101167,   -3.230965,   -5.449942,  -25.130351,   -6.293437,   -8.383784,   -5.870405,   -6.269601,   -5.727957,   -6.239704,  -10.441665,   -7.487275,   -5.451997,   -7.504124,   -5.708231,   -7.312617,   -7.652481,   -7.422344,   -6.103163,   -8.938785,   -9.219881,   -9.846184
Mult,SI,251114 12:50:21.463286,    5.627589,101041.634457,   24.227105,   50.783402,   18.637894,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.073546,    0.003043,    0.001725,   -0.081177,    0.000000,    0.000000,   44.460937,   -2.862745,    0.726577,   -0.510412,   -2.298498,   -1.950415,   -1.362742,   -1.590003,   -1.701784,   -1.828771,   -0.445480,   -0.757810,   -2.928910,    0.634933,   -2.256169,   -2.328087,   -2.298087,   -2.793704,   -0.480412,   -2.337950,   -1.171646,    0.815344,    0.767673,   -2.897266,   -2.436169,    0.917673,   -0.609453,   -1.317948,    1.335003,   -0.877399,   -1.377537,    0.212055,   -2.199456,    0.871748,   -1.117207,   -1.050619,   -0.056712,   -0.366576,   -0.349727,    0.276987,   -1.367263,    1.690688,   -0.078493,   -0.393699,   -1.029865,   -7.975084,  -25.075012,   -8.821867,   -7.161795,   -6.664123,   -6.177033,   -7.928235,   -6.740921,   -7.965632,   -8.993340,   -6.275971,   -7.790563,   -8.055324,   -8.103304,   -6.604328,   -8.271386,   -7.359878,   -7.287960,   -9.722280,   -6.591383
Mult,SI,251114 12:50:21.473286,    5.627133,101041.634457,   24.181010,   50.868453,   18.637894,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.025477,    0.036372,    0.010905,    0.108626,    0.000000,    0.000000,   44.460937,    0.556439,   -0.516165,    0.178357,   -0.866303,   -2.059730,   -2.942061,   -2.534389,   -1.270276,   -3.229321,   -1.797949,   -0.095343,   -0.993290,   -1.082879,   -2.298909,   -1.392742,   -2.623156,   -0.428220,   -0.451234,   -1.922881,   -2.598909,   -1.444934,   -1.030276,   -0.844111,   -2.070004,    0.250274,   -0.237535,   -1.004797,    1.063564,   -0.296302,   -2.190415,   -0.002055,   -1.384112,    0.497775,   -0.740318,   -1.820346,   -1.681647,   -0.379727,   -2.356854,   -0.414247,   -1.860004,    0.176302,    0.762330,   -1.046920,   -1.310551,   -7.815221,  -24.023580,   -9.137895,   -7.103644,   -6.894877,   -8.736490,   -8.463715,   -8.023809,   -7.532892,   -6.349841,   -6.233232,   -8.125907,   -5.469360,   -8.393030,   -7.331932,   -8.099605,   -7.280562,   -7.890427,   -5.194120,   -8.883305
Mult,SI,251114 12:50:21.483286,    5.629000,101041.634457,   24.347865,   51.248203,   18.637894,    0.000000,  200.000000,   13.500000,    0.200000,    4.800000,    6.000000,    0.059316,    0.164723,   -0.005249,   -0.101132,    0.000000,    0.000000,   44.460937,    0.400275,    0.524796,   -0.217809,   -0.883152,   -2.043292,   -1.557126,   -2.275895,   -1.379592,   -0.018082,   -0.081781,   -1.287948,   -0.847399,    0.371508,    0.344795,   -1.156030,   -1.940963,   -0.593015,   -0.606577,   -2.739457,   -0.191507,    0.197261,    1.728908,   -2.693019,   -0.974796,   -2.738225,   -1.300688,   -1.595346,   -0.852741,    0.066986,   -1.416578,   -1.455208,   -0.253562,    0.540823,   -2.301721,   -1.152126,   -1.778634,   -1.487674,    0.077671,   -1.780278,    1.366852,   -4.173707,   -0.714659,   -0.022808,   -0.726166,   -7.622275,  -24.942199,   -7.444946,   -8.848168,   -6.692274,   -7.229398,   -8.157961,   -6.746520,   -6.514123,   -8.384606,   -7.689056,   -6.179601,   -7.444535,   -6.426588,   -6.119190,   -6.975630,   -6.010286,   -7.550152,   -8.313715,   -7.506179
